id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
40,Ada,,VIC,Victoria,3833,Rural locality,-37.84087,145.84969,669,0,0,61.67000,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
41,Adaminaby,,NSW,New South Wales,2629,Urban locality,-35.99735,148.76974,1022,301,28548,356.49600,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
42,Adams Estate,,VIC,Victoria,3984,Rural locality,-38.42519,145.53186,83,59,34736,0.21500,Bass Coast (Shire),Latrobe - Gippsland,Australia/Melbourne
43,Adamstown,Newcastle,NSW,New South Wales,2289,Suburb,-32.93254,151.72625,25,6044,36296,3.07100,Newcastle (City),Newcastle and Lake Macquarie,Australia/Sydney
44,Adamstown Heights,Newcastle,NSW,New South Wales,2289,Suburb,-32.95098,151.71770,97,5299,39052,2.39400,Newcastle (City),Newcastle and Lake Macquarie,Australia/Sydney
45,Adamsvale,,WA,Western Australia,6375,Rural locality,-32.24941,117.72485,298,31,84500,246.52000,Corrigin (Shire),Western Australia - Wheat Belt,Australia/Perth
46,Adare,,QLD,Queensland,4343,Rural locality,-27.52154,152.28656,122,873,31772,39.04900,Lockyer Valley (Regional Council),Toowoomba,Australia/Brisbane
47,Adavale,,QLD,Queensland,4474,Rural locality,-25.91190,144.70107,285,93,23400,21354.75700,Quilpie (Shire),Queensland - Outback,Australia/Brisbane
48,Addington,,VIC,Victoria,3352,Rural locality,-37.38446,143.67251,464,71,22932,18.59600,Ballarat (City),Ballarat,Australia/Melbourne
49,Adelaide,,SA,South Australia,5000,Major urban locality,-34.92577,138.59973,75,15115,24648,10.48200,Adelaide (City),Adelaide - Central and Hills,Australia/Adelaide
50,Adelaide Airport,Adelaide,SA,South Australia,5950,Suburb,-34.93726,138.53916,11,0,0,7.29500,West Torrens (City),Adelaide - West,Australia/Adelaide
51,Adelaide Lead,,VIC,Victoria,3465,Rural locality,-37.07467,143.67736,235,81,28912,38.50300,Central Goldfields (Shire),Ballarat,Australia/Melbourne
52,Adelaide Park,,QLD,Queensland,4703,Rural locality,-23.11468,150.69673,63,424,28600,24.13900,Livingstone (Shire),Central Queensland,Australia/Brisbane
53,Adelaide River,,NT,Northern Territory,0846,Rural locality,-13.19095,131.13760,45,353,27404,146.73800,Coomalie (Shire),Northern Territory - Outback,Australia/Darwin
54,Adelong,,NSW,New South Wales,2729,Urban locality,-35.30795,148.06368,338,943,26364,20.27000,Snowy Valleys (Area),Riverina,Australia/Sydney
55,Adjungbilly,,NSW,New South Wales,2727,Rural locality,-35.08146,148.40992,513,81,42328,438.10100,Cootamundra-Gundagai Regional (Area),Riverina,Australia/Sydney
56,Advancetown,,QLD,Queensland,4211,Rural locality,-28.03305,153.27963,55,482,38948,63.55300,Gold Coast (City),Gold Coast,Australia/Brisbane
57,Adventure Bay,,TAS,Tasmania,7150,Rural locality,-43.35579,147.32612,16,195,22464,11.42700,Kingborough (Municipality),South East,Australia/Hobart
58,Aeroglen,Cairns,QLD,Queensland,4870,Suburb,-16.88394,145.74673,6,403,43524,9.86400,Cairns (Regional Council),Cairns,Australia/Brisbane
59,Afterlee,,NSW,New South Wales,2474,Rural locality,-28.59388,152.82575,238,50,23608,34.78400,Kyogle (Area),Richmond - Tweed,Australia/Sydney
60,Agery,,SA,South Australia,5558,Rural locality,-34.15690,137.74281,105,96,38792,159.28800,Yorke Peninsula (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
61,Agnes,,VIC,Victoria,3962,Rural locality,-38.67015,146.39615,21,57,22204,15.71700,South Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
62,Agnes Banks,,NSW,New South Wales,2753,Rural locality,-33.61888,150.70737,27,911,40352,15.47500,Penrith (City),Sydney - Outer West and Blue Mountains,Australia/Sydney
63,Agnes Water,,QLD,Queensland,4677,Urban locality,-24.21251,151.90335,25,2210,25636,40.26200,Gladstone (Regional Council),Central Queensland,Australia/Brisbane
64,Ainslie,Canberra,ACT,Australian Capital Territory,2602,Suburb,-35.26215,149.14589,593,5189,53508,3.54100,Unincorporated,Australian Capital Territory,Australia/Sydney
65,Aintree,,VIC,Victoria,3336,Suburb,-37.71806,144.66806,126,0,,0.00000,Melton (City),Melbourne - West,Australia/Melbourne
66,Airdmillan,,QLD,Queensland,4807,Rural locality,-19.54686,147.44370,11,109,42120,57.42900,Burdekin (Shire),Townsville,Australia/Brisbane
67,Airds,Sydney,NSW,New South Wales,2560,Suburb,-34.08447,150.82904,139,2926,20020,2.38100,Campbelltown (City),Sydney - Outer South West,Australia/Sydney
68,Aire Valley,,VIC,Victoria,3237,Rural locality,-38.69611,143.56898,399,0,0,16.23800,Colac-Otway (Shire),Warrnambool and South West,Australia/Melbourne
69,Aireys Inlet,,VIC,Victoria,3231,Urban locality,-38.45944,144.10689,51,802,33852,19.61400,Surf Coast (Shire),Geelong,Australia/Melbourne
70,Airlie Beach,,QLD,Queensland,4802,Urban locality,-20.26787,148.71622,13,1208,43940,3.07000,Whitsunday (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
71,Airly,,VIC,Victoria,3851,Rural locality,-38.03555,147.08440,14,146,28600,25.16600,Wellington (Shire),Latrobe - Gippsland,Australia/Melbourne
72,Airport West,Melbourne,VIC,Victoria,3042,Suburb,-37.71170,144.88704,89,7564,35516,3.67500,Moonee Valley (City),Melbourne - North West,Australia/Melbourne
73,Airville,,QLD,Queensland,4807,Rural locality,-19.65354,147.33726,19,338,36972,43.90900,Burdekin (Shire),Townsville,Australia/Brisbane
74,Aitkenvale,Townsville,QLD,Queensland,4814,Suburb,-19.29771,146.76434,14,4790,30056,3.30700,Townsville (City),Townsville,Australia/Brisbane
75,Ajana,,WA,Western Australia,6532,Rural locality,-27.94861,114.61132,213,58,24856,727.82400,Northampton (Shire),Western Australia - Outback (South),Australia/Perth
76,Akaroa,,TAS,Tasmania,7216,Urban locality,-41.30452,148.31671,8,132,26312,5.46300,Break O'Day (Municipality),Launceston and North East,Australia/Hobart
77,Akolele,,NSW,New South Wales,2546,Urban locality,-36.35580,150.07685,30,173,17680,5.95000,Eurobodalla (Area),Capital Region,Australia/Sydney
78,Alabama Hill,Charters Towers,QLD,Queensland,4820,Suburb,-20.08292,146.24937,356,121,34164,0.78400,Charters Towers (Regional Council),Townsville,Australia/Brisbane
79,Alawa,Darwin,NT,Northern Territory,0810,Suburb,-12.37896,130.87423,21,2127,43212,1.24000,Darwin (City),Darwin,Australia/Darwin
80,Alawoona,,SA,South Australia,5311,Rural locality,-34.73589,140.50879,74,39,26988,201.45600,Loxton Waikerie (District Council),South Australia - South East,Australia/Adelaide
81,Albacutya,,VIC,Victoria,3424,Rural locality,-35.69201,141.97654,85,0,0,98.51900,Hindmarsh (Shire),North West,Australia/Melbourne
82,Albanvale,Melbourne,VIC,Victoria,3021,Suburb,-37.74593,144.77003,74,5491,22776,1.86300,Brimbank (City),Melbourne - West,Australia/Melbourne
83,Albany,,WA,Western Australia,6330,Major urban locality,-35.02387,117.88354,25,1313,34476,1.80400,Albany (City),Western Australia - Wheat Belt,Australia/Perth
84,Albany Creek,Brisbane,QLD,Queensland,4035,Suburb,-27.34553,152.96840,21,15769,40872,9.62400,Moreton Bay (Regional Council),Moreton Bay - South,Australia/Brisbane
85,Albert,,NSW,New South Wales,2873,Rural locality,-32.41586,147.50811,249,81,30784,690.58000,Lachlan (Area),Central West,Australia/Sydney
86,Alberta,,QLD,Queensland,4702,Rural locality,-24.32548,149.78253,97,69,38948,385.43400,Banana (Shire),Central Queensland,Australia/Brisbane
87,Alberton,,QLD,Queensland,4207,Rural locality,-27.70787,153.26916,6,590,33644,16.19900,Gold Coast (City),Gold Coast,Australia/Brisbane
88,Alberton,Adelaide,SA,South Australia,5014,Suburb,-34.85922,138.51953,9,1818,32760,0.96700,Port Adelaide Enfield (City),Adelaide - West,Australia/Adelaide
89,Alberton,,TAS,Tasmania,7263,Rural locality,-41.29309,147.78932,310,3,0,32.91700,Dorset (Municipality),Launceston and North East,Australia/Hobart
90,Alberton,,VIC,Victoria,3971,Rural locality,-38.61139,146.66598,12,262,24492,45.10300,Wellington (Shire),Latrobe - Gippsland,Australia/Melbourne
91,Alberton West,,VIC,Victoria,3971,Rural locality,-38.59869,146.58795,21,81,26572,25.08300,Wellington (Shire),Latrobe - Gippsland,Australia/Melbourne
92,Albert Park,Adelaide,SA,South Australia,5014,Suburb,-34.87831,138.52135,10,1724,33072,0.90600,Charles Sturt (City),Adelaide - West,Australia/Adelaide
93,Albert Park,Melbourne,VIC,Victoria,3206,Suburb,-37.84071,144.95571,10,6215,60008,2.83900,Port Phillip (City),Melbourne - Inner,Australia/Melbourne
94,Albinia,,QLD,Queensland,4722,Rural locality,-24.43965,148.39740,237,112,106184,1068.01800,Central Highlands (Regional Council),Central Queensland,Australia/Brisbane
95,Albion,Brisbane,QLD,Queensland,4010,Suburb,-27.42803,153.04521,35,2296,49452,1.32200,Brisbane (City),Brisbane Inner City,Australia/Brisbane
96,Albion,,QLD,Queensland,4822,Rural locality,-21.50903,142.69317,196,16,33748,5538.56500,Richmond (Shire),Queensland - Outback,Australia/Brisbane
97,Albion,Melbourne,VIC,Victoria,3020,Suburb,-37.77595,144.81940,44,4731,26936,2.48300,Brimbank (City),Melbourne - West,Australia/Melbourne
98,Albion Park,Wollongong,NSW,New South Wales,2527,Suburb,-34.57072,150.77503,12,13316,33228,9.09800,Shellharbour (City),Illawarra,Australia/Sydney
99,Albion Park Rail,Wollongong,NSW,New South Wales,2527,Suburb,-34.56084,150.79575,6,6918,28600,7.16800,Shellharbour (City),Illawarra,Australia/Sydney
100,Albury,,NSW,New South Wales,2640,Major urban locality,-36.08214,146.91017,157,4804,40872,5.68300,Albury (City),Murray,Australia/Sydney
101,Alcomie,,TAS,Tasmania,7330,Rural locality,-40.93487,145.18523,215,56,24232,32.33000,Circular Head (Municipality),West and North West,Australia/Hobart
102,Aldavilla,Kempsey,NSW,New South Wales,2440,Suburb,-31.05895,152.76814,13,1230,25740,15.07600,Kempsey (Area),Mid North Coast,Australia/Sydney
103,Alderley,Brisbane,QLD,Queensland,4051,Suburb,-27.42442,153.00052,39,6117,49244,2.55000,Brisbane (City),Brisbane Inner City,Australia/Brisbane
104,Aldershot,,QLD,Queensland,4650,Rural locality,-25.47455,152.66010,19,1152,23088,10.24100,Fraser Coast (Regional Council),Wide Bay,Australia/Brisbane
105,Aldersyde,,WA,Western Australia,6306,Rural locality,-32.37423,117.30582,238,42,56836,389.84100,Brookton (Shire),Western Australia - Wheat Belt,Australia/Perth
106,Aldgate,Crafers - Bridgewater,SA,South Australia,5154,Suburb,-35.01512,138.73619,421,3361,44252,8.40600,Adelaide Hills (District Council),Adelaide - Central and Hills,Australia/Adelaide
107,Aldinga,,SA,South Australia,5173,Urban locality,-35.26733,138.48314,33,573,29328,13.33200,Onkaparinga (City),Adelaide - South,Australia/Adelaide
108,Aldinga Beach,Adelaide,SA,South Australia,5173,Suburb,-35.27888,138.46180,24,10557,29692,13.66800,Onkaparinga (City),Adelaide - South,Australia/Adelaide
109,Aldoga,,QLD,Queensland,4694,Rural locality,-23.83529,151.07133,58,0,0,82.07400,Gladstone (Regional Council),Central Queensland,Australia/Brisbane
110,Alectown,,NSW,New South Wales,2870,Rural locality,-32.91427,148.26801,377,168,29900,277.14400,Parkes (Area),Central West,Australia/Sydney
111,Alexander Heights,Perth,WA,Western Australia,6064,Suburb,-31.82761,115.86713,69,7924,32500,3.18200,Wanneroo (City),Perth - North West,Australia/Perth
112,Alexandra,,QLD,Queensland,4740,Rural locality,-21.16447,149.09961,20,193,36868,7.47400,Mackay (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
113,Alexandra,,VIC,Victoria,3714,Urban locality,-37.19131,145.71106,222,2695,27248,79.44000,Murrindindi (Shire),Hume,Australia/Melbourne
114,Alexandra Bridge,,WA,Western Australia,6288,Rural locality,-34.16062,115.19957,23,9,37700,6.60100,Augusta-Margaret River (Shire),Bunbury,Australia/Perth
115,Alexandra Headland,Sunshine Coast,QLD,Queensland,4572,Suburb,-26.67064,153.10804,8,3958,39520,1.50400,Sunshine Coast (Regional Council),Sunshine Coast,Australia/Brisbane
116,Alexandra Hills,Brisbane,QLD,Queensland,4161,Suburb,-27.52277,153.22046,45,16254,36816,13.69000,Redland (City),Brisbane - East,Australia/Brisbane
117,Alexandria,Sydney,NSW,New South Wales,2015,Suburb,-33.90985,151.19278,6,8262,69732,3.51600,Sydney (City),Sydney - City and Inner South,Australia/Sydney
118,Alford,,SA,South Australia,5555,Rural locality,-33.81518,137.82127,67,158,30680,219.07800,Barunga West (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
119,Alfords Point,Sydney,NSW,New South Wales,2234,Suburb,-33.99330,151.02475,100,3109,43732,2.56700,Sutherland Shire (Area),Sydney - Sutherland,Australia/Sydney
120,Alfred Cove,Perth,WA,Western Australia,6154,Suburb,-32.03424,115.80861,13,2550,44304,1.05700,Melville (City),Perth - South West,Australia/Perth
121,Alfredton,Ballarat,VIC,Victoria,3350,Suburb,-37.55696,143.81723,459,9220,35360,8.01000,Ballarat (City),Ballarat,Australia/Melbourne
122,Alfredtown,,NSW,New South Wales,2650,Rural locality,-35.16147,147.51238,198,109,46800,75.07900,Wagga Wagga (City),Riverina,Australia/Sydney
123,Algester,Brisbane,QLD,Queensland,4115,Suburb,-27.61130,153.03352,33,8433,34996,3.69000,Brisbane (City),Brisbane - South,Australia/Brisbane
124,Alice,,NSW,New South Wales,2469,Rural locality,-29.05024,152.58745,117,6,16900,13.27500,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
125,Alice Creek,,QLD,Queensland,4610,Rural locality,-26.76002,151.63170,575,60,23400,88.11400,South Burnett (Regional Council),Wide Bay,Australia/Brisbane
126,Alice River,,QLD,Queensland,4817,Urban locality,-19.32661,146.59971,50,2425,43992,39.75800,Townsville (City),Townsville,Australia/Brisbane
127,Alice Springs,,NT,Northern Territory,0870,Major urban locality,-23.70036,133.88089,581,300,41340,1.39400,Alice Springs (Town),Northern Territory - Outback,Australia/Darwin
128,Ali Curung,,NT,Northern Territory,0872,Urban locality,-21.00041,134.39409,378,494,13208,443.15000,Barkly (Regional Council),Northern Territory - Outback,Australia/Darwin
129,Alison,,NSW,New South Wales,2259,Rural locality,-33.26817,151.39865,8,95,34788,1.39600,Central Coast (City),Central Coast,Australia/Sydney
130,Alison,,NSW,New South Wales,2420,Rural locality,-32.43480,151.77193,90,76,37648,19.27100,Dungog (Area),Hunter Valley exc Newcastle,Australia/Sydney
131,Alkimos,Perth,WA,Western Australia,6038,Suburb,-31.61455,115.68059,40,6269,48360,17.17400,Wanneroo (City),Perth - North West,Australia/Perth
132,Allambee,,VIC,Victoria,3823,Rural locality,-38.29287,146.02163,359,19,21840,13.53300,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
133,Allambee Reserve,,VIC,Victoria,3871,Rural locality,-38.28526,146.05489,417,95,24388,33.06200,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
134,Allambee South,,VIC,Victoria,3871,Rural locality,-38.34374,146.09959,170,76,23868,9.58300,South Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
135,Allambie Heights,Sydney,NSW,New South Wales,2100,Suburb,-33.76508,151.24886,126,7009,40404,6.67500,Northern Beaches (Area),Sydney - Northern Beaches,Australia/Sydney
136,Allan,,QLD,Queensland,4370,Rural locality,-28.19557,151.94953,456,87,28340,8.85900,Southern Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
137,Allandale,,NSW,New South Wales,2320,Rural locality,-32.71069,151.42353,55,73,45032,10.48300,Maitland (City),Hunter Valley exc Newcastle,Australia/Sydney
138,Allandale,,QLD,Queensland,4310,Rural locality,-28.00836,152.75909,217,56,27924,48.77200,Scenic Rim (Regional Council),Ipswich,Australia/Brisbane
139,Allanooka,,WA,Western Australia,6525,Rural locality,-29.04726,115.02908,100,19,35360,323.58400,Irwin (Shire),Western Australia - Outback (South),Australia/Perth
140,Allans Flat,,VIC,Victoria,3691,Rural locality,-36.27611,146.90982,206,318,34840,38.33100,Indigo (Shire),Hume,Australia/Melbourne
141,Allansford,,VIC,Victoria,3277,Urban locality,-38.38647,142.59067,15,1521,34892,85.63600,Warrnambool (City),Warrnambool and South West,Australia/Melbourne
142,Allanson,,WA,Western Australia,6225,Urban locality,-33.33753,116.09806,191,627,32448,24.79600,Collie (Shire),Bunbury,Australia/Perth
143,Allawah,Sydney,NSW,New South Wales,2218,Suburb,-33.97002,151.11452,55,5706,31928,0.58400,Georges River (Area),Sydney - Inner South West,Australia/Sydney
144,Alleena,,NSW,New South Wales,2671,Rural locality,-34.10946,147.14097,284,61,23400,269.63300,Bland (Area),Central West,Australia/Sydney
145,Allenby Gardens,Adelaide,SA,South Australia,5009,Suburb,-34.90433,138.55515,18,1868,34580,0.82600,Charles Sturt (City),Adelaide - West,Australia/Adelaide
146,Allendale,,VIC,Victoria,3364,Rural locality,-37.36871,143.93855,479,166,36036,14.23800,Hepburn (Shire),Ballarat,Australia/Melbourne
147,Allendale East,,SA,South Australia,5291,Urban locality,-38.00337,140.70894,16,472,30940,50.11700,Grant (District Council),South Australia - South East,Australia/Adelaide
148,Allendale North,,SA,South Australia,5373,Rural locality,-34.30398,138.91766,277,147,27924,46.95500,Light (Regional Council),Barossa - Yorke - Mid North,Australia/Adelaide
149,Allens Rivulet,,TAS,Tasmania,7150,Rural locality,-43.01068,147.20406,148,487,37544,11.97200,Kingborough (Municipality),Hobart,Australia/Hobart
150,Allenstown,Rockhampton,QLD,Queensland,4700,Suburb,-23.38894,150.50287,13,2790,27612,2.22900,Rockhampton (Regional Council),Central Queensland,Australia/Brisbane
151,Allenview,,QLD,Queensland,4285,Rural locality,-27.90126,152.93908,36,184,33176,43.49400,Scenic Rim (Regional Council),Logan - Beaudesert,Australia/Brisbane
152,Allestree,,VIC,Victoria,3305,Rural locality,-38.27035,141.65616,10,128,25012,7.96000,Glenelg (Shire),Warrnambool and South West,Australia/Melbourne
153,Allgomera,,NSW,New South Wales,2441,Rural locality,-30.81610,152.83137,51,131,24908,120.38800,Nambucca Valley (Area),Mid North Coast,Australia/Sydney
154,Alligator Creek,,QLD,Queensland,4740,Rural locality,-21.32393,149.21106,16,791,37284,78.03000,Mackay (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
155,Alligator Creek,,QLD,Queensland,4816,Urban locality,-19.42492,146.94720,26,1353,44876,49.40200,Townsville (City),Townsville,Australia/Brisbane
156,Allora,,QLD,Queensland,4362,Urban locality,-28.03585,151.98272,473,1223,25064,96.47300,Southern Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
157,Alloway,,QLD,Queensland,4670,Rural locality,-24.95238,152.36214,29,490,30524,72.78800,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
158,Allworth,,NSW,New South Wales,2425,Rural locality,-32.54169,151.96093,20,166,31512,18.25100,Mid-Coast (Area),Mid North Coast,Australia/Sydney
159,Allynbrook,,NSW,New South Wales,2311,Rural locality,-32.36334,151.53623,89,64,35724,34.18200,Dungog (Area),Hunter Valley exc Newcastle,Australia/Sydney
160,Alma,,SA,South Australia,5401,Rural locality,-34.26662,138.63086,177,75,37700,102.78600,Wakefield (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
161,Alma,,VIC,Victoria,3465,Rural locality,-37.02881,143.67682,212,201,22204,20.69400,Central Goldfields (Shire),Ballarat,Australia/Melbourne
162,Alma,,WA,Western Australia,6535,Rural locality,-28.23338,114.69358,281,114,33280,342.00500,Northampton (Shire),Western Australia - Outback (South),Australia/Perth
163,Almaden,,QLD,Queensland,4871,Rural locality,-17.34006,144.67813,498,71,25116,797.52500,Mareeba (Shire),Queensland - Outback,Australia/Brisbane
164,Alma Park,,NSW,New South Wales,2659,Rural locality,-35.60413,146.79169,213,55,53300,87.68500,Greater Hume Shire (Area),Murray,Australia/Sydney
165,Almonds,,VIC,Victoria,3727,Rural locality,-36.22497,146.06069,177,26,19916,31.57200,Moira (Shire),Shepparton,Australia/Melbourne
166,Almurta,,VIC,Victoria,3979,Rural locality,-38.45863,145.58388,66,48,35724,16.58900,Bass Coast (Shire),Latrobe - Gippsland,Australia/Melbourne
167,Alonnah,,TAS,Tasmania,7150,Rural locality,-43.32148,147.24218,5,137,24544,15.17000,Kingborough (Municipality),South East,Australia/Hobart
168,Aloomba,,QLD,Queensland,4871,Rural locality,-17.11626,145.83486,13,529,38480,110.98000,Cairns (Regional Council),Cairns,Australia/Brisbane
169,Alpha,,QLD,Queensland,4724,Urban locality,-23.64966,146.64107,353,335,37076,203.40800,Barcaldine (Regional Council),Queensland - Outback,Australia/Brisbane
170,Alphington,Melbourne,VIC,Victoria,3078,Suburb,-37.78077,145.03116,38,5080,47580,2.81700,Yarra (City),Melbourne - Inner,Australia/Melbourne
171,Alpine,,NSW,New South Wales,2575,Rural locality,-34.40952,150.52396,605,135,38948,23.03300,Wingecarribee (Area),Southern Highlands and Shoalhaven,Australia/Sydney
172,Alpurrurulam,,NT,Northern Territory,4825,Urban locality,-20.98411,137.85075,201,420,13156,9.99300,Barkly (Regional Council),Northern Territory - Outback,Australia/Darwin
